"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY NEXT 50","20 Jun 2025","21.65","3.99","1.43"
"NIFTY NEXT 50","19 Jun 2025","21.38","3.95","1.39"
"NIFTY NEXT 50","18 Jun 2025","21.68","4.01","1.39"
"NIFTY NEXT 50","17 Jun 2025","21.75","4.04","1.38"
"NIFTY NEXT 50","16 Jun 2025","21.9","4.07","1.37"
"NIFTY NEXT 50","13 Jun 2025","21.74","4.06","1.43"
"NIFTY NEXT 50","12 Jun 2025","21.94","4.09","1.35"
"NIFTY NEXT 50","11 Jun 2025","22.34","4.17","1.32"
"NIFTY NEXT 50","10 Jun 2025","22.39","4.18","1.32"
"NIFTY NEXT 50","09 Jun 2025","22.36","4.26","1.32"
"NIFTY NEXT 50","06 Jun 2025","22.09","4.21","1.35"
"NIFTY NEXT 50","05 Jun 2025","21.83","4.2","1.29"
"NIFTY NEXT 50","04 Jun 2025","21.73","4.18","1.29"
"NIFTY NEXT 50","03 Jun 2025","21.72","4.17","1.3"
"NIFTY NEXT 50","02 Jun 2025","21.96","4.19","1.29"
"NIFTY NEXT 50","30 May 2025","21.85","4.18","1.31"
"NIFTY NEXT 50","29 May 2025","21.9","4.19","1.3"
"NIFTY NEXT 50","28 May 2025","21.94","4.18","1.3"
"NIFTY NEXT 50","27 May 2025","22","4.2","1.3"
"NIFTY NEXT 50","26 May 2025","22.06","4.21","1.3"
"NIFTY NEXT 50","23 May 2025","21.97","4.19","1.38"
"NIFTY NEXT 50","22 May 2025","22.04","4.17","1.36"
"NIFTY NEXT 50","21 May 2025","22.16","4.18","1.36"
"NIFTY NEXT 50","20 May 2025","21.91","4.13","1.37"
"NIFTY NEXT 50","19 May 2025","22.32","4.21","1.35"
"NIFTY NEXT 50","16 May 2025","22.21","4.19","1.35"
"NIFTY NEXT 50","15 May 2025","21.94","4.14","1.37"
"NIFTY NEXT 50","14 May 2025","21.71","4.1","1.39"
"NIFTY NEXT 50","13 May 2025","21.55","4.07","1.42"
"NIFTY NEXT 50","12 May 2025","21.67","4.07","1.41"
"NIFTY NEXT 50","09 May 2025","20.82","3.91","1.46"
"NIFTY NEXT 50","08 May 2025","20.99","3.93","1.46"
"NIFTY NEXT 50","07 May 2025","21.47","4.01","1.43"
"NIFTY NEXT 50","06 May 2025","21.39","3.99","1.43"
"NIFTY NEXT 50","05 May 2025","21.92","4.09","1.4"
"NIFTY NEXT 50","02 May 2025","21.91","4.03","1.42"
"NIFTY NEXT 50","30 Apr 2025","21.91","4.03","1.41"
"NIFTY NEXT 50","29 Apr 2025","22.04","4.06","1.41"
"NIFTY NEXT 50","28 Apr 2025","22.13","4.07","1.4"
"NIFTY NEXT 50","25 Apr 2025","21.9","4.02","1.42"
"NIFTY NEXT 50","24 Apr 2025","22.45","4.12","1.38"
"NIFTY NEXT 50","23 Apr 2025","22.49","4.13","1.38"
"NIFTY NEXT 50","22 Apr 2025","22.34","4.1","1.39"
"NIFTY NEXT 50","21 Apr 2025","22.29","4.09","1.39"
"NIFTY NEXT 50","17 Apr 2025","21.9","4.02","1.42"
"NIFTY NEXT 50","16 Apr 2025","21.74","3.99","1.43"
"NIFTY NEXT 50","15 Apr 2025","21.6","3.96","1.44"
"NIFTY NEXT 50","11 Apr 2025","20.95","3.84","1.48"
"NIFTY NEXT 50","09 Apr 2025","20.67","3.79","1.5"
"NIFTY NEXT 50","08 Apr 2025","20.72","3.8","1.5"
"NIFTY NEXT 50","07 Apr 2025","20.29","3.72","1.53"
"NIFTY NEXT 50","04 Apr 2025","20.95","3.84","1.48"
"NIFTY NEXT 50","03 Apr 2025","21.5","3.95","1.44"
"NIFTY NEXT 50","02 Apr 2025","21.5","3.95","1.44"
"NIFTY NEXT 50","01 Apr 2025","21.26","3.9","1.46"
"NIFTY NEXT 50","28 Mar 2025","21.48","3.94","1.44"
"NIFTY NEXT 50","27 Mar 2025","22.65","3.5","1.3"
"NIFTY NEXT 50","26 Mar 2025","22.3","3.45","1.32"
"NIFTY NEXT 50","25 Mar 2025","22.38","3.46","1.28"
"NIFTY NEXT 50","24 Mar 2025","22.72","3.51","1.26"
"NIFTY NEXT 50","21 Mar 2025","22.44","3.47","1.3"
"NIFTY NEXT 50","20 Mar 2025","22.24","3.44","1.3"
"NIFTY NEXT 50","19 Mar 2025","22.12","3.44","1.31"
"NIFTY NEXT 50","18 Mar 2025","21.77","3.39","1.32"
"NIFTY NEXT 50","17 Mar 2025","21.21","3.3","1.35"
"NIFTY NEXT 50","13 Mar 2025","21.05","3.28","1.36"
"NIFTY NEXT 50","12 Mar 2025","21.16","3.29","1.35"
"NIFTY NEXT 50","11 Mar 2025","21.16","3.29","1.35"
"NIFTY NEXT 50","10 Mar 2025","21.05","3.28","1.36"
"NIFTY NEXT 50","07 Mar 2025","21.37","3.33","1.34"
"NIFTY NEXT 50","06 Mar 2025","21.46","3.34","1.33"
"NIFTY NEXT 50","05 Mar 2025","21.22","3.3","1.35"
"NIFTY NEXT 50","04 Mar 2025","20.69","3.22","1.38"
"NIFTY NEXT 50","03 Mar 2025","20.58","3.2","1.39"
"NIFTY NEXT 50","28 Feb 2025","20.37","3.17","1.41"
"NIFTY NEXT 50","27 Feb 2025","20.98","3.26","1.34"
"NIFTY NEXT 50","25 Feb 2025","21.18","3.3","1.33"
"NIFTY NEXT 50","24 Feb 2025","21.34","3.32","1.32"
"NIFTY NEXT 50","21 Feb 2025","21.6","3.36","1.33"
"NIFTY NEXT 50","20 Feb 2025","21.8","3.39","1.32"
"NIFTY NEXT 50","19 Feb 2025","21.49","3.34","1.38"
"NIFTY NEXT 50","18 Feb 2025","21.31","3.3","1.4"
"NIFTY NEXT 50","17 Feb 2025","21.34","3.3","1.38"
"NIFTY NEXT 50","14 Feb 2025","21.38","3.31","1.37"
"NIFTY NEXT 50","13 Feb 2025","22.03","3.39","1.32"
"NIFTY NEXT 50","12 Feb 2025","21.99","3.38","1.3"
"NIFTY NEXT 50","11 Feb 2025","21.99","3.38","1.31"
"NIFTY NEXT 50","10 Feb 2025","22.53","3.47","1.28"
"NIFTY NEXT 50","07 Feb 2025","22.95","3.53","1.26"
"NIFTY NEXT 50","06 Feb 2025","23","3.53","1.18"
"NIFTY NEXT 50","05 Feb 2025","23.19","3.56","1.23"
"NIFTY NEXT 50","04 Feb 2025","23.07","3.54","1.24"
"NIFTY NEXT 50","03 Feb 2025","22.75","3.48","1.26"
"NIFTY NEXT 50","01 Feb 2025","23.47","3.53","1.23"
"NIFTY NEXT 50","31 Jan 2025","23.34","3.51","1.24"
"NIFTY NEXT 50","30 Jan 2025","23.1","3.46","1.25"
"NIFTY NEXT 50","29 Jan 2025","23.11","3.45","1.25"
"NIFTY NEXT 50","28 Jan 2025","22.31","3.39","1.28"
"NIFTY NEXT 50","27 Jan 2025","22.23","3.38","1.28"
"NIFTY NEXT 50","24 Jan 2025","22.9","3.47","1.24"
"NIFTY NEXT 50","23 Jan 2025","23.27","3.53","1.22"
"NIFTY NEXT 50","22 Jan 2025","23.04","3.5","1.24"
"NIFTY NEXT 50","21 Jan 2025","23.23","3.53","1.22"
"NIFTY NEXT 50","20 Jan 2025","23.85","3.62","1.19"
"NIFTY NEXT 50","17 Jan 2025","23.82","3.62","1.19"
"NIFTY NEXT 50","16 Jan 2025","23.64","3.59","1.2"
"NIFTY NEXT 50","15 Jan 2025","23.31","3.54","1.22"
"NIFTY NEXT 50","14 Jan 2025","23.1","3.51","1.23"
"NIFTY NEXT 50","13 Jan 2025","22.52","3.42","1.26"
"NIFTY NEXT 50","10 Jan 2025","23.53","3.58","1.21"
"NIFTY NEXT 50","09 Jan 2025","24.01","3.65","1.18"
"NIFTY NEXT 50","08 Jan 2025","24.32","3.7","1.17"
"NIFTY NEXT 50","07 Jan 2025","24.52","3.72","1.16"
"NIFTY NEXT 50","06 Jan 2025","24.54","3.73","1.16"
"NIFTY NEXT 50","03 Jan 2025","25.34","3.85","1.12"
"NIFTY NEXT 50","02 Jan 2025","25.31","3.85","1.12"
"NIFTY NEXT 50","01 Jan 2025","24.99","3.8","1.14"
"NIFTY NEXT 50","31 Dec 2024","24.9","3.78","1.14"
"NIFTY NEXT 50","30 Dec 2024","21.71","3.65","1.42"
"NIFTY NEXT 50","27 Dec 2024","21.87","3.67","1.41"
"NIFTY NEXT 50","26 Dec 2024","22.06","3.71","1.5"
"NIFTY NEXT 50","24 Dec 2024","21.97","3.69","1.5"
"NIFTY NEXT 50","23 Dec 2024","21.98","3.69","1.43"
"NIFTY NEXT 50","20 Dec 2024","21.92","3.68","1.43"
"NIFTY NEXT 50","19 Dec 2024","22.53","3.79","1.39"
"NIFTY NEXT 50","18 Dec 2024","22.73","3.82","1.38"
"NIFTY NEXT 50","17 Dec 2024","23.03","3.87","1.36"
"NIFTY NEXT 50","16 Dec 2024","23.34","3.92","1.34"
"NIFTY NEXT 50","13 Dec 2024","23.28","3.91","1.35"
"NIFTY NEXT 50","12 Dec 2024","23.31","3.92","1.34"
"NIFTY NEXT 50","11 Dec 2024","23.38","3.93","1.34"
"NIFTY NEXT 50","10 Dec 2024","23.32","3.92","1.34"
"NIFTY NEXT 50","09 Dec 2024","23.2","3.9","1.35"
"NIFTY NEXT 50","06 Dec 2024","23.3","3.91","1.34"
"NIFTY NEXT 50","05 Dec 2024","23.12","3.88","1.35"
"NIFTY NEXT 50","04 Dec 2024","23.05","3.87","1.36"
"NIFTY NEXT 50","03 Dec 2024","22.93","3.85","1.37"
"NIFTY NEXT 50","02 Dec 2024","22.72","3.81","1.38"
